"name","label","geometry","site"
122,122,"44.0077 4.2122","ripisylves_gardon"
123,123,"44.0086 4.2089","ripisylves_gardon"
124,124,"44.0106 4.2044","ripisylves_gardon"
125,125,"44.0119 4.2035","ripisylves_gardon"
126,126,"44.0174 4.1994","ripisylves_gardon"
127,127,"44.0186 4.2104","ripisylves_gardon"
128,128,"44.0184 4.2092","ripisylves_gardon"
129,129,"44.0142 4.2102","ripisylves_gardon"
130,130,"44.0141 4.2105","ripisylves_gardon"
131,131,"44.0174 4.2098","ripisylves_gardon"
132,132,"43.9367 4.2897","ripisylves_gardon"
133,133,"43.9485 4.2728","ripisylves_gardon"
134,134,"43.9496 4.2565","ripisylves_gardon"
135,135,"43.9475 4.2637","ripisylves_gardon"
136,136,"43.9441 4.2660","ripisylves_gardon"
137,137,"43.9469 4.2738","ripisylves_gardon"
138,138,"43.9426 4.2809","ripisylves_gardon"
139,139,"43.9530 4.2551","ripisylves_gardon"
140,140,"43.9636 4.2458","ripisylves_gardon"
141,141,"43.9604 4.2523","ripisylves_gardon"
142,142,"43.9601 4.3315","ripisylves_gardon"
143,143,"43.9598 4.3345","ripisylves_gardon"
144,144,"43.9563 4.3385","ripisylves_gardon"
145,145,"43.9636 4.3396","ripisylves_gardon"
146,146,"43.9542 4.3264","ripisylves_gardon"
147,147,"43.9658 4.3323","ripisylves_gardon"
148,148,"43.9554 4.3267","ripisylves_gardon"
149,149,"43.9509 4.3217","ripisylves_gardon"
150,150,"43.9354 4.3049","ripisylves_gardon"
151,151,"43.9355 4.3045","ripisylves_gardon"
152,152,"43.9361 4.3029","ripisylves_gardon"
153,153,"43.9357 4.3031","ripisylves_gardon"
154,154,"43.9443 4.3089","ripisylves_gardon"
155,155,"43.9385 4.3059","ripisylves_gardon"
156,156,"43.9359 4.3052","ripisylves_gardon"
157,157,"43.9364 4.3037","ripisylves_gardon"
158,158,"43.9415 4.2867","ripisylves_gardon"
159,159,"43.9342 4.2900","ripisylves_gardon"
160,160,"43.9352 4.2906","ripisylves_gardon"
161,161,"43.9360 4.2898","ripisylves_gardon"
162,162,"43.9353 4.2922","ripisylves_gardon"
163,163,"43.9607 4.2378","ripisylves_gardon"
164,164,"43.9617 4.2393","ripisylves_gardon"
165,165,"43.9616 4.2471","ripisylves_gardon"
166,166,"43.9938 4.2188","ripisylves_gardon"
167,167,"43.9935 4.2181","ripisylves_gardon"
168,168,"43.9970 4.2219","ripisylves_gardon"
169,169,"44.0011 4.2371","ripisylves_gardon"
